Time_ms,ax,ay,az,gx,gy,gz
1772935211920.1716,-0.0375,0.0343,-0.975,3.001,-5.889,-1.68
1772935211920.1716,-0.0397,0.0351,-0.976,3.15,-5.906,-1.435
1772935211920.1716,-0.0395,0.0323,-0.9766,3.299,-5.985,-1.627
1772935211920.1716,-0.0383,0.0345,-0.9747,3.491,-6.16,-1.61
1772935211920.1716,-0.0376,0.0321,-0.9734,3.334,-5.845,-1.531
1772935211920.1716,-0.0393,0.0325,-0.9745,3.553,-5.871,-1.522
1772935211920.1716,-0.0387,0.0314,-0.974,3.518,-5.994,-1.417
1772935211920.1716,-0.0373,0.0319,-0.9732,3.605,-5.941,-1.347
1772935211920.1716,-0.0356,0.0281,-0.9733,3.658,-6.107,-1.514
1772935211920.1716,-0.0392,0.0293,-0.9739,3.789,-6.195,-1.549
1772935211920.1716,-0.0401,0.0289,-0.9728,3.85,-6.309,-1.339
1772935211920.1716,-0.0365,0.029,-0.9734,3.876,-6.282,-1.522
1772935211920.1716,-0.0383,0.0282,-0.9734,3.728,-6.204,-1.558
1772935211935.9065,-0.0376,0.0262,-0.9704,3.701,-6.107,-1.234
1772935211935.9065,-0.0396,0.0249,-0.9729,3.894,-6.143,-1.312
1772935211935.9065,-0.0399,0.024,-0.9739,3.623,-5.976,-1.444
1772935211935.9065,-0.0386,0.0258,-0.971,3.684,-5.906,-1.365
1772935211935.9065,-0.0371,0.0234,-0.9722,3.981,-6.055,-1.356
1772935211935.9065,-0.0405,0.0242,-0.9677,3.692,-5.609,-1.015
1772935211935.9065,-0.0404,0.022,-0.969,3.701,-5.425,-1.225
1772935211935.9065,-0.0384,0.0212,-0.9674,3.579,-5.565,-1.242
1772935211935.9065,-0.0382,0.0194,-0.9688,3.518,-5.609,-1.129
1772935211935.9065,-0.0395,0.0228,-0.9676,3.395,-5.311,-1.129
1772935211935.9065,-0.0391,0.0211,-0.9684,3.334,-5.513,-1.024
1772935211935.9065,-0.0397,0.0212,-0.9695,3.351,-5.486,-1.006
1772935211951.683,-0.0382,0.0198,-0.9685,2.966,-5.119,-0.963
1772935211951.683,-0.0387,0.02,-0.9685,2.896,-4.865,-0.866
1772935211951.683,-0.0364,0.0193,-0.9665,2.931,-4.751,-0.971
1772935211951.683,-0.0375,0.0193,-0.969,2.599,-4.848,-1.05
1772935211951.683,-0.0368,0.017,-0.971,2.669,-4.83,-0.735
1772935211951.683,-0.0356,0.0209,-0.9706,2.643,-4.769,-0.866
1772935211951.683,-0.0371,0.0184,-0.9699,2.485,-4.576,-0.998
1772935211951.683,-0.0387,0.0198,-0.9717,2.266,-4.463,-0.823
1772935211951.683,-0.0358,0.0205,-0.9687,2.24,-4.366,-0.796
1772935211951.683,-0.0382,0.0194,-0.9725,1.96,-4.051,-0.779
1772935211951.683,-0.0381,0.0212,-0.9697,1.846,-4.139,-0.849
1772935211951.683,-0.0367,0.0196,-0.9733,1.671,-4.296,-0.647
1772935211951.683,-0.0382,0.0206,-0.9768,1.575,-4.034,-0.796
1772935211966.8103,-0.0357,0.0212,-0.9759,1.531,-3.868,-0.525
1772935211966.8103,-0.0375,0.0223,-0.975,1.383,-4.13,-0.858
1772935211966.8103,-0.0369,0.0207,-0.9776,1.304,-3.876,-0.91
1772935211966.8103,-0.0347,0.0209,-0.9777,1.006,-4.06,-0.919
1772935211966.8103,-0.0346,0.0223,-0.9794,1.015,-3.894,-0.735
