Time_ms,ax,ay,az
1772931083678.7568,0.055,-0.6284,-0.7532
1772931083678.7568,0.0536,-0.6282,-0.7543
1772931083678.7568,0.0529,-0.6295,-0.7554
1772931083678.7568,0.0519,-0.6281,-0.7542
1772931083693.7312,0.0498,-0.6306,-0.7518
1772931083693.7312,0.0518,-0.6287,-0.7521
1772931083693.7312,0.0509,-0.6279,-0.7529
1772931083693.7312,0.0543,-0.6282,-0.7529
1772931083693.7312,0.0519,-0.6298,-0.7534
1772931083693.7312,0.053,-0.6287,-0.7508
1772931083693.7312,0.0517,-0.6258,-0.7538
1772931083693.7312,0.0522,-0.6277,-0.7507
1772931083708.789,0.0505,-0.6289,-0.7502
1772931083708.789,0.0539,-0.6283,-0.7513
1772931083708.789,0.0525,-0.6263,-0.7521
1772931083708.789,0.0512,-0.6289,-0.7504
1772931083708.789,0.0508,-0.626,-0.7537
1772931083708.789,0.0497,-0.6272,-0.7539
1772931083708.789,0.0487,-0.6279,-0.7522
1772931083708.789,0.0515,-0.6276,-0.7516
1772931083724.3438,0.0483,-0.6309,-0.7495
1772931083724.3438,0.0482,-0.638,-0.7559
1772931083724.3438,0.0542,-0.6234,-0.757
1772931083724.3438,0.0497,-0.6154,-0.7609
1772931083724.3438,0.0515,-0.6162,-0.7547
1772931083724.3438,0.0485,-0.6209,-0.7496
1772931083739.676,0.0499,-0.6214,-0.7495
1772931083739.676,0.0483,-0.6256,-0.7523
1772931083739.676,0.0496,-0.6273,-0.7542
1772931083739.676,0.0471,-0.6263,-0.7532
1772931083739.676,0.0501,-0.6287,-0.7519
1772931083739.676,0.0481,-0.6265,-0.7541
1772931083739.676,0.0492,-0.626,-0.7556
1772931083739.676,0.0478,-0.6256,-0.7541
1772931083755.791,0.0461,-0.6243,-0.7543
1772931083755.791,0.0476,-0.6242,-0.7562
1772931083755.791,0.0441,-0.627,-0.7532
1772931083755.791,0.047,-0.6261,-0.7548
1772931083755.791,0.0463,-0.6248,-0.7542
1772931083755.791,0.0484,-0.6263,-0.7543
1772931083755.791,0.0465,-0.6255,-0.7529
1772931083755.791,0.0501,-0.6294,-0.7563
1772931083771.4116,0.0457,-0.6274,-0.7538
1772931083771.4116,0.0487,-0.6271,-0.7556
1772931083771.4116,0.0473,-0.6271,-0.7554
1772931083771.4116,0.0512,-0.6288,-0.7546
1772931083771.4116,0.0498,-0.6276,-0.7546
1772931083771.4116,0.0496,-0.6268,-0.752
1772931083771.4116,0.047,-0.6264,-0.7549
1772931083771.4116,0.0498,-0.6268,-0.754
1772931083786.8845,0.0506,-0.6249,-0.7517
1772931083786.8845,0.0484,-0.6255,-0.7538
1772931083786.8845,0.0475,-0.626,-0.7541
1772931083786.8845,0.0483,-0.6267,-0.7537
1772931083786.8845,0.0467,-0.6267,-0.7526
1772931083786.8845,0.0483,-0.6263,-0.7542
1772931083786.8845,0.048,-0.6262,-0.7531
1772931083786.8845,0.0482,-0.6263,-0.7508
1772931083802.4685,0.0498,-0.6282,-0.7515
1772931083802.4685,0.0499,-0.626,-0.7509
1772931083802.4685,0.0478,-0.6264,-0.7527
1772931083802.4685,0.0502,-0.6261,-0.7526
1772931083802.4685,0.0487,-0.6243,-0.7497
1772931083817.9377,0.0486,-0.6263,-0.7501
1772931083817.9377,0.0511,-0.6264,-0.7495
1772931083817.9377,0.0484,-0.6257,-0.7477
1772931083817.9377,0.0495,-0.6262,-0.7507
1772931083817.9377,0.0481,-0.6262,-0.7493
1772931083817.9377,0.0519,-0.6276,-0.7481
1772931083817.9377,0.0502,-0.6293,-0.7483
1772931083817.9377,0.05,-0.6279,-0.748
1772931083833.5706,0.0504,-0.6284,-0.7476
1772931083833.5706,0.0486,-0.6271,-0.749
1772931083833.5706,0.0504,-0.628,-0.7502
1772931083833.5706,0.0482,-0.6265,-0.7523
1772931083833.5706,0.0485,-0.6268,-0.7503
1772931083833.5706,0.047,-0.6269,-0.7508
1772931083833.5706,0.0476,-0.6265,-0.7504
1772931083833.5706,0.0458,-0.6263,-0.7505
1772931083849.4353,0.0477,-0.6268,-0.753
1772931083849.4353,0.0472,-0.6281,-0.7518
1772931083849.4353,0.0476,-0.6274,-0.7517
1772931083849.4353,0.0477,-0.6274,-0.7505
1772931083849.4353,0.0479,-0.6271,-0.7507
1772931083849.4353,0.0491,-0.629,-0.7493
1772931083849.4353,0.05,-0.6268,-0.7496
