Time_ms,ax,ay,az,gx,gy,gz
1772932653623.2017,-0.1277,-0.0092,-0.9639,3.395,-5.058,-1.488
1772932653623.2017,-0.1275,-0.008,-0.9671,3.124,-4.795,-1.627
1772932653623.2017,-0.128,-0.0057,-0.9658,2.931,-4.603,-1.234
1772932653623.2017,-0.1282,-0.0059,-0.9676,3.071,-4.638,-1.566
1772932653638.604,-0.1286,-0.0051,-0.9667,3.141,-4.874,-1.391
1772932653638.604,-0.1296,-0.0059,-0.9699,3.08,-4.716,-1.461
1772932653638.604,-0.1278,-0.0052,-0.9689,3.176,-4.62,-1.339
1772932653638.604,-0.1278,-0.0032,-0.9717,3.08,-5.022,-1.417
1772932653653.8767,-0.1271,-0.0045,-0.9741,3.001,-5.066,-1.566
1772932653653.8767,-0.1292,-0.0049,-0.9771,3.299,-5.372,-1.435
1772932653653.8767,-0.1308,-0.0048,-0.977,3.194,-5.6,-1.409
1772932653653.8767,-0.1305,-0.0029,-0.9797,2.993,-5.88,-1.278
1772932653668.639,-0.1289,-0.0049,-0.9795,3.089,-5.915,-1.383
1772932653668.639,-0.1302,-0.007,-0.9801,3.124,-6.213,-1.409
1772932653668.639,-0.1276,-0.0066,-0.9742,3.08,-6.344,-1.514
1772932653668.639,-0.1282,-0.0087,-0.9773,3.185,-6.37,-1.269
1772932653668.639,-0.1263,-0.007,-0.9721,2.896,-6.423,-1.111
1772932653684.5728,-0.1247,-0.0079,-0.9694,2.931,-6.247,-1.173
1772932653684.5728,-0.1252,-0.007,-0.9686,2.721,-6.02,-1.234
1772932653699.7395,-0.1253,-0.0076,-0.9673,2.835,-5.985,-1.208
1772932653699.7395,-0.1262,-0.0052,-0.9659,2.774,-5.469,-1.103
1772932653699.7395,-0.1275,-0.0053,-0.9644,2.581,-5.478,-1.417
1772932653699.7395,-0.1274,-0.0047,-0.9616,2.625,-4.874,-1.461
1772932653699.7395,-0.1279,-0.0053,-0.9644,2.371,-4.471,-1.435
1772932653714.972,-0.1305,-0.0049,-0.9577,2.083,-4.069,-1.094
1772932653714.972,-0.1337,-0.006,-0.959,1.75,-3.482,-1.531
1772932653714.972,-0.1321,-0.004,-0.9612,1.96,-3.264,-1.339
1772932653714.972,-0.1329,-0.0046,-0.9622,1.663,-2.879,-1.041
1772932653730.876,-0.1326,-0.0038,-0.9719,1.89,-2.809,-1.208
1772932653730.876,-0.131,-0.0016,-0.9758,1.925,-3.054,-1.426
1772932653730.876,-0.1301,-0.0049,-0.9853,2.118,-3.351,-1.234
1772932653730.876,-0.1308,-0.0059,-0.9897,2.389,-4.2,-1.654
1772932653746.4285,-0.1283,-0.0061,-0.9933,2.844,-5.11,-1.514
1772932653746.4285,-0.1272,-0.0061,-0.997,3.544,-6.169,-1.741
1772932653746.4285,-0.126,-0.0094,-0.9967,4.034,-7.14,-1.575
1772932653746.4285,-0.1276,-0.0109,-0.9883,4.769,-7.84,-1.759
1772932653762.0251,-0.1268,-0.012,-0.9769,4.725,-8.076,-1.452
1772932653762.0251,-0.125,-0.0154,-0.9688,4.812,-7.761,-1.566
1772932653762.0251,-0.1209,-0.014,-0.959,4.183,-7.236,-1.33
1772932653777.767,-0.1182,-0.0138,-0.9545,3.08,-5.758,-0.963
1772932653777.767,-0.1158,-0.014,-0.9465,1.978,-5.25,-0.954
1772932653777.767,-0.1158,-0.0116,-0.9385,0.726,-3.85,-1.006
1772932653777.767,-0.1174,-0.01,-0.942,0.018,-2.949,-0.814
1772932653777.767,-0.118,-0.0079,-0.946,-0.647,-2.03,-1.024
1772932653793.86,-0.1186,-0.0027,-0.9645,-0.28,-1.444,-0.998
1772932653793.86,-0.1194,-0.0004,-0.9952,1.103,-2.17,-1.26
1772932653793.86,-0.1247,-0.0017,-1.013,1.759,-3.237,-1.164
1772932653793.86,-0.1271,-0.0021,-1.0234,3.167,-5.434,-1.05
1772932653809.0044,-0.1295,-0.0032,-1.0099,3.876,-7.114,-0.963
1772932653809.0044,-0.1328,-0.0088,-0.9966,4.436,-8.339,-1.103
1772932653809.0044,-0.1355,-0.0092,-0.9781,4.419,-9.17,-0.98
1772932653809.0044,-0.1358,-0.0076,-0.9579,3.763,-8.557,-0.718
1772932653825.1047,-0.1325,-0.0056,-0.9514,3.71,-7.21,-0.507
1772932653825.1047,-0.1298,-0.0031,-0.954,3.299,-6.239,-0.481
1772932653825.1047,-0.1279,0.0009,-0.9597,2.817,-5.381,-0.735
1772932653825.1047,-0.126,0.006,-0.9646,3.054,-4.83,-0.787
1772932653841.758,-0.1284,0.004,-0.9767,2.958,-4.489,-0.98
1772932653841.758,-0.1302,0.0049,-0.9871,2.888,-4.454,-1.155
1772932653841.758,-0.1344,0.0034,-0.9944,2.914,-4.305,-1.12
1772932653841.758,-0.1376,-0.0138,-0.9932,2.625,-3.78,-1.164
1772932653841.758,-0.1396,-0.0016,-0.9856,2.73,-3.001,-1.295
1772932653856.9233,-0.1396,-0.0014,-0.975,2.24,-2.371,-1.444
1772932653856.9233,-0.1407,-0.0035,-0.9739,2.065,-1.4,-1.505
1772932653856.9233,-0.1369,-0.0071,-0.9723,2.126,-1.558,-1.295
1772932653856.9233,-0.1365,-0.01,-0.9711,2.345,-2.336,-1.505
1772932653873.0735,-0.1338,-0.0131,-0.9675,2.599,-3.229,-1.61
1772932653873.0735,-0.1321,-0.0205,-0.9637,2.144,-4.095,-1.426
1772932653873.0735,-0.1296,-0.022,-0.9637,2.065,-5.171,-1.741
1772932653888.2097,-0.1268,-0.0242,-0.968,1.785,-5.574,-1.549
1772932653888.2097,-0.1243,-0.0233,-0.9706,1.242,-6.064,-1.33
1772932653888.2097,-0.1222,-0.0232,-0.9789,0.892,-6.886,-1.076
1772932653888.2097,-0.12,-0.022,-0.9792,0.499,-7.499,-1.409
1772932653903.7673,-0.118,-0.0145,-0.9758,0.333,-8.033,-1.575
1772932653903.7673,-0.118,-0.0109,-0.9722,0.674,-8.146,-1.444
1772932653903.7673,-0.1133,-0.0071,-0.9689,0.656,-8.164,-1.706
1772932653903.7673,-0.1136,-0.0016,-0.964,1.067,-8.041,-1.356
1772932653919.8381,-0.1151,0.0016,-0.9627,1.452,-7.367,-1.873
1772932653919.8381,-0.1154,0.0064,-0.9614,1.82,-7.192,-2.056
1772932653919.8381,-0.1174,0.0123,-0.9616,2.354,-6.536,-1.82
1772932653919.8381,-0.1164,0.0158,-0.9643,2.914,-6.492,-1.96
1772932653919.8381,-0.1175,0.014,-0.9679,3.544,-6.02,-1.864
1772932653935.7139,-0.1213,0.0127,-0.9697,3.964,-5.688,-1.829
1772932653935.7139,-0.1277,0.011,-0.9704,4.305,-4.926,-1.96
1772932653935.7139,-0.1276,0.0076,-0.9717,4.366,-4.734,-1.689
1772932653935.7139,-0.1291,0.0035,-0.9718,4.41,-4.673,-1.627
1772932653951.2786,-0.1307,0.0004,-0.972,4.463,-4.673,-1.627
1772932653951.2786,-0.1295,-0.0048,-0.9713,4.314,-4.769,-1.715
1772932653951.2786,-0.1299,-0.0036,-0.9688,3.955,-4.541,-1.479
1772932653951.2786,-0.128,-0.0071,-0.9684,3.692,-4.331,-1.356
1772932653967.875,-0.1255,-0.0082,-0.969,3.692,-3.911,-1.593
1772932653967.875,-0.1252,-0.0071,-0.9713,3.456,-3.885,-1.479
1772932653967.875,-0.1222,-0.0069,-0.9706,3.089,-4.043,-1.593
1772932653983.6047,-0.1196,-0.0059,-0.9729,3.115,-3.999,-1.444
1772932653983.6047,-0.1185,-0.007,-0.9736,3.132,-4.559,-1.488
1772932653983.6047,-0.1188,-0.0037,-0.9758,2.993,-4.445,-1.26
1772932653983.6047,-0.1216,-0.0031,-0.9721,2.73,-4.611,-1.12
1772932653983.6047,-0.1225,-0.0061,-0.9725,2.459,-4.865,-1.181
1772932653998.7893,-0.1215,-0.006,-0.9726,2.791,-5.189,-1.26
1772932653998.7893,-0.1228,-0.0063,-0.9717,2.467,-4.926,-1.041
1772932653998.7893,-0.125,-0.0077,-0.9719,2.24,-4.664,-0.805
1772932653998.7893,-0.1276,-0.0099,-0.9677,2.441,-4.69,-1.024
1772932654013.848,-0.13,-0.0096,-0.9681,2.319,-4.567,-0.989
1772932654013.848,-0.1328,-0.0107,-0.9675,2.004,-4.375,-0.796
1772932654013.848,-0.1327,-0.0098,-0.9684,1.934,-4.209,-1.103
1772932654013.848,-0.1329,-0.0098,-0.9672,1.986,-3.929,-1.094
1772932654028.6367,-0.1343,-0.0079,-0.9672,2.039,-3.885,-1.488
1772932654028.6367,-0.1344,-0.0059,-0.9681,1.864,-3.089,-1.4
1772932654028.6367,-0.1336,-0.0049,-0.9705,2.013,-3.491,-1.698
1772932654044.2932,-0.1312,-0.0054,-0.9723,2.021,-3.465,-1.549
1772932654044.2932,-0.1291,-0.0047,-0.9767,2.24,-3.596,-1.802
1772932654044.2932,-0.1267,-0.0041,-0.9794,2.319,-3.938,-1.732
1772932654044.2932,-0.1249,-0.0057,-0.9817,2.433,-4.673,-1.619
1772932654059.6633,-0.1239,-0.0068,-0.9786,2.712,-5.058,-1.409
1772932654059.6633,-0.1211,-0.0079,-0.9753,2.931,-5.425,-1.531
1772932654059.6633,-0.1196,-0.0099,-0.9735,2.922,-5.539,-1.374
1772932654059.6633,-0.1243,-0.0076,-0.969,2.879,-5.513,-1.452
1772932654075.0122,-0.1259,-0.0081,-0.9688,2.958,-5.486,-1.321
1772932654075.0122,-0.1247,-0.0097,-0.9661,3.019,-5.329,-1.278
1772932654075.0122,-0.1269,-0.0082,-0.9661,3.054,-5.241,-1.356
1772932654075.0122,-0.1267,-0.0078,-0.9701,3.124,-4.987,-1.216
1772932654075.0122,-0.1282,-0.009,-0.9744,2.888,-5.128,-1.356
1772932654091.637,-0.1289,-0.0063,-0.9737,2.756,-4.83,-1.549
1772932654091.637,-0.1314,-0.0088,-0.9774,3.08,-4.83,-1.531
1772932654091.637,-0.129,-0.0077,-0.9765,2.87,-5.162,-1.347
1772932654091.637,-0.1293,-0.0041,-0.9803,2.966,-5.162,-1.522
1772932654107.4553,-0.1283,-0.0017,-0.981,3.264,-5.407,-1.584
1772932654107.4553,-0.1285,-0.0009,-0.9819,3.272,-5.416,-1.522
1772932654107.4553,-0.126,-0.0016,-0.9809,3.631,-5.652,-1.663
1772932654107.4553,-0.1257,-0.0019,-0.9833,3.64,-5.679,-1.54
1772932654123.077,-0.1252,-0.0037,-0.979,4.069,-5.749,-1.321
1772932654123.077,-0.1233,-0.0035,-0.9792,3.894,-5.696,-1.312
1772932654123.077,-0.126,-0.0062,-0.9787,3.885,-5.521,-1.286
1772932654138.6458,-0.1235,-0.0063,-0.9764,4.112,-5.941,-1.295
1772932654138.6458,-0.1236,-0.0107,-0.978,4.235,-5.548,-1.242
1772932654138.6458,-0.1224,-0.0115,-0.9762,3.902,-5.644,-1.269
1772932654138.6458,-0.1244,-0.0133,-0.9737,3.719,-5.679,-1.26
1772932654154.8452,-0.1251,-0.0118,-0.9753,3.5,-6.003,-1.278
1772932654154.8452,-0.1238,-0.0114,-0.9732,3.272,-5.985,-1.006
1772932654154.8452,-0.1249,-0.0061,-0.9707,3.132,-5.827,-0.849
1772932654154.8452,-0.1235,-0.0057,-0.9733,2.949,-5.644,-1.085
1772932654154.8452,-0.1256,-0.0042,-0.9678,2.826,-5.897,-1.295
1772932654169.6582,-0.1223,-0.0017,-0.972,2.748,-5.591,-1.365
1772932654169.6582,-0.1244,-0.0014,-0.9673,2.59,-5.434,-1.33
1772932654169.6582,-0.1232,0.0002,-0.9655,2.704,-5.399,-1.452
1772932654169.6582,-0.1192,-0.0023,-0.9659,2.546,-5.066,-1.435
1772932654185.7346,-0.1186,0.0022,-0.9667,2.695,-4.865,-1.417
1772932654185.7346,-0.1213,0.0004,-0.9675,2.748,-5.022,-1.383
1772932654185.7346,-0.1209,-0.0004,-0.9684,2.739,-4.699,-1.312
1772932654185.7346,-0.1181,-0.0004,-0.9674,2.748,-4.699,-1.129
1772932654201.2117,-0.1201,-0.0053,-0.9675,2.879,-4.532,-0.989
1772932654201.2117,-0.123,-0.0026,-0.967,2.669,-4.62,-1.339
1772932654201.2117,-0.1205,-0.0046,-0.9649,2.502,-4.025,-1.33
1772932654216.3472,-0.1209,-0.0034,-0.9661,2.931,-4.463,-1.374
1772932654216.3472,-0.122,-0.0026,-0.9647,2.94,-4.331,-1.111
1772932654216.3472,-0.1252,-0.0023,-0.9659,2.783,-3.859,-1.015
1772932654216.3472,-0.1236,-0.004,-0.9622,3.159,-3.509,-1.242
1772932654231.726,-0.1255,-0.0049,-0.9633,2.931,-3.833,-1.164
1772932654231.726,-0.1247,-0.005,-0.9601,2.844,-3.719,-1.015
1772932654231.726,-0.1255,-0.0055,-0.9626,2.695,-3.439,-1.041
1772932654231.726,-0.1232,-0.0067,-0.9601,2.712,-3.027,-1.129
1772932654231.726,-0.1233,-0.0044,-0.9639,2.336,-2.888,-1.251
1772932654247.6174,-0.124,-0.003,-0.9637,2.214,-2.809,-1.111
1772932654247.6174,-0.1236,-0.003,-0.9683,2.336,-2.914,-1.304
1772932654247.6174,-0.1229,-0.0016,-0.9713,2.284,-2.975,-1.347
1772932654247.6174,-0.1224,-0.0018,-0.9743,2.406,-2.905,-1.304
1772932654263.235,-0.1218,-0.0017,-0.9756,2.52,-2.966,-1.514
1772932654263.235,-0.123,-0.0026,-0.9787,3.027,-3.115,-1.759
1772932654263.235,-0.1222,-0.0024,-0.98,2.94,-3.482,-1.741
1772932654263.235,-0.122,-0.0049,-0.9767,3.054,-3.736,-1.627
1772932654279.5698,-0.123,-0.0079,-0.9797,3.08,-3.701,-1.549
