Time_ms,ax,ay,az
1772930846052.154,0.0418,-0.5968,-0.7729
1772930846052.154,0.0392,-0.5949,-0.7715
1772930846067.2363,0.0403,-0.5982,-0.7745
1772930846067.2363,0.0401,-0.5968,-0.7773
1772930846067.2363,0.0354,-0.5955,-0.7814
1772930846067.2363,0.037,-0.5948,-0.7803
1772930846067.2363,0.0331,-0.5957,-0.782
1772930846083.3044,0.0312,-0.5951,-0.7909
1772930846083.3044,0.032,-0.5959,-0.7939
1772930846083.3044,0.0317,-0.5948,-0.8006
1772930846083.3044,0.0313,-0.5927,-0.8105
1772930846083.3044,0.0275,-0.5868,-0.8168
1772930846083.3044,0.0288,-0.5856,-0.8258
1772930846083.3044,0.026,-0.5851,-0.8363
1772930846083.3044,0.0279,-0.5845,-0.8452
1772930846098.8848,0.026,-0.5853,-0.8477
1772930846098.8848,0.0279,-0.5882,-0.8448
1772930846098.8848,0.0362,-0.5909,-0.8402
1772930846098.8848,0.0374,-0.593,-0.8395
1772930846098.8848,0.0414,-0.5944,-0.8276
1772930846098.8848,0.0484,-0.5961,-0.8161
1772930846098.8848,0.0523,-0.5973,-0.8066
1772930846098.8848,0.0551,-0.5965,-0.7907
1772930846113.926,0.0582,-0.5944,-0.7862
1772930846113.926,0.062,-0.5916,-0.7802
1772930846113.926,0.062,-0.586,-0.7785
1772930846113.926,0.0623,-0.5852,-0.7788
1772930846113.926,0.0622,-0.5863,-0.7817
1772930846113.926,0.0565,-0.5844,-0.7793
1772930846113.926,0.0536,-0.5878,-0.7806
1772930846113.926,0.0477,-0.5891,-0.7831
1772930846129.0864,0.0481,-0.5902,-0.7879
1772930846129.0864,0.039,-0.595,-0.7876
1772930846129.0864,0.0358,-0.5958,-0.7868
1772930846129.0864,0.0323,-0.5991,-0.787
1772930846129.0864,0.0321,-0.6024,-0.7775
1772930846129.0864,0.0301,-0.6021,-0.764
1772930846129.0864,0.0291,-0.603,-0.7566
1772930846129.0864,0.0317,-0.6048,-0.7497
1772930846145.2,0.0353,-0.6041,-0.7477
1772930846145.2,0.0359,-0.6017,-0.7454
1772930846145.2,0.0379,-0.6012,-0.747
1772930846145.2,0.0368,-0.5959,-0.7485
1772930846145.2,0.0367,-0.5946,-0.7504
1772930846145.2,0.0353,-0.5937,-0.7497
1772930846145.2,0.0326,-0.5885,-0.7526
1772930846145.2,0.032,-0.5857,-0.7543
1772930846160.745,0.0295,-0.586,-0.7576
1772930846160.745,0.0282,-0.5844,-0.7608
1772930846160.745,0.0199,-0.5829,-0.7651
1772930846160.745,0.0245,-0.584,-0.7681
1772930846160.745,0.0223,-0.5843,-0.7704
1772930846176.3235,0.0238,-0.5838,-0.7746
1772930846176.3235,0.0247,-0.5832,-0.7735
1772930846176.3235,0.0243,-0.5831,-0.7752
1772930846176.3235,0.027,-0.5799,-0.7803
1772930846176.3235,0.03,-0.5799,-0.7839
1772930846176.3235,0.0325,-0.5805,-0.7808
1772930846176.3235,0.0333,-0.5794,-0.7812
1772930846176.3235,0.0347,-0.5782,-0.7848
1772930846192.378,0.0392,-0.5793,-0.7861
1772930846192.378,0.042,-0.5779,-0.7861
1772930846192.378,0.0422,-0.5764,-0.7874
1772930846192.378,0.0431,-0.576,-0.7882
1772930846192.378,0.0439,-0.575,-0.7823
1772930846192.378,0.0436,-0.5739,-0.7852
1772930846192.378,0.0453,-0.5729,-0.7859
1772930846192.378,0.0456,-0.5714,-0.7862
1772930846207.907,0.0446,-0.5716,-0.7828
1772930846207.907,0.0468,-0.571,-0.7834
1772930846207.907,0.0453,-0.5718,-0.7848
1772930846207.907,0.0472,-0.5746,-0.782
1772930846207.907,0.0462,-0.5745,-0.7801
1772930846207.907,0.0454,-0.5744,-0.7807
1772930846207.907,0.0462,-0.575,-0.7799
1772930846207.907,0.0489,-0.5802,-0.7865
1772930846223.9612,0.047,-0.5783,-0.779
1772930846223.9612,0.0417,-0.578,-0.7702
1772930846223.9612,0.0447,-0.5786,-0.7788
1772930846223.9612,0.0451,-0.581,-0.7757
1772930846223.9612,0.0432,-0.5794,-0.7766
1772930846223.9612,0.042,-0.5804,-0.7762
1772930846223.9612,0.0437,-0.5824,-0.7775
1772930846223.9612,0.0423,-0.5804,-0.7782
1772930846239.9988,0.0407,-0.5831,-0.7772
1772930846239.9988,0.0368,-0.5865,-0.7769
1772930846239.9988,0.0364,-0.5855,-0.7788
1772930846239.9988,0.0357,-0.5864,-0.7811
1772930846239.9988,0.0343,-0.5874,-0.7841
1772930846239.9988,0.0348,-0.5863,-0.7826
1772930846239.9988,0.034,-0.5883,-0.7856
1772930846239.9988,0.03,-0.5881,-0.7885
1772930846255.684,0.0323,-0.588,-0.7871
1772930846255.684,0.0298,-0.5909,-0.7854
1772930846255.684,0.0315,-0.5895,-0.786
1772930846255.684,0.0285,-0.5922,-0.787
1772930846255.684,0.0314,-0.5928,-0.7898
1772930846255.684,0.0285,-0.5895,-0.7909
1772930846271.2651,0.0285,-0.5896,-0.7918
1772930846271.2651,0.0337,-0.5901,-0.7868
1772930846271.2651,0.0316,-0.5887,-0.7891
1772930846271.2651,0.035,-0.5877,-0.7902
1772930846271.2651,0.0335,-0.5883,-0.7906
1772930846271.2651,0.0347,-0.5863,-0.7881
1772930846271.2651,0.0362,-0.5849,-0.7864
1772930846271.2651,0.0384,-0.586,-0.7883
1772930846286.9993,0.0408,-0.5874,-0.7887
1772930846286.9993,0.039,-0.5873,-0.7864
1772930846286.9993,0.0398,-0.5882,-0.7873
1772930846286.9993,0.0396,-0.5884,-0.7854
1772930846286.9993,0.0393,-0.5882,-0.784
1772930846286.9993,0.0457,-0.5899,-0.7857
1772930846286.9993,0.0458,-0.5898,-0.7818
1772930846286.9993,0.0454,-0.5932,-0.7778
1772930846302.8213,0.0486,-0.5933,-0.7788
1772930846302.8213,0.0474,-0.594,-0.7763
1772930846302.8213,0.0488,-0.593,-0.7759
1772930846302.8213,0.049,-0.5939,-0.7748
1772930846302.8213,0.0493,-0.5915,-0.7734
1772930846302.8213,0.0472,-0.5918,-0.7726
1772930846302.8213,0.047,-0.5937,-0.771
1772930846302.8213,0.0483,-0.5935,-0.7743
1772930846317.919,0.0471,-0.5917,-0.7742
1772930846317.919,0.0443,-0.5904,-0.7787
1772930846317.919,0.0465,-0.5915,-0.7788
1772930846317.919,0.0416,-0.5893,-0.7796
1772930846317.919,0.0394,-0.588,-0.7859
1772930846317.919,0.0365,-0.5843,-0.7848
1772930846317.919,0.0363,-0.5843,-0.7877
1772930846317.919,0.0308,-0.5832,-0.7924
1772930846332.95,0.0333,-0.5829,-0.7965
1772930846332.95,0.0319,-0.5833,-0.8
1772930846332.95,0.0301,-0.5836,-0.8029
1772930846332.95,0.0273,-0.5841,-0.8013
1772930846332.95,0.0273,-0.583,-0.8011
1772930846348.0073,0.029,-0.5822,-0.8008
1772930846348.0073,0.0285,-0.5819,-0.7982
1772930846348.0073,0.0286,-0.582,-0.7987
1772930846348.0073,0.0305,-0.5811,-0.7977
1772930846348.0073,0.0321,-0.5816,-0.7954
1772930846348.0073,0.0349,-0.5801,-0.7946
1772930846348.0073,0.0359,-0.58,-0.7899
1772930846348.0073,0.0369,-0.5801,-0.7914
1772930846364.0227,0.0389,-0.578,-0.7901
1772930846364.0227,0.0404,-0.5778,-0.7858
1772930846364.0227,0.042,-0.5782,-0.7833
1772930846364.0227,0.0425,-0.5781,-0.7863
1772930846364.0227,0.0432,-0.5783,-0.7851
1772930846364.0227,0.0448,-0.581,-0.7835
1772930846364.0227,0.0468,-0.583,-0.7814
1772930846364.0227,0.0464,-0.5851,-0.7775
1772930846379.1602,0.0488,-0.5866,-0.7759
1772930846379.1602,0.0478,-0.5887,-0.7773
1772930846379.1602,0.0484,-0.5891,-0.7791
1772930846379.1602,0.0484,-0.5895,-0.7765
1772930846379.1602,0.0479,-0.5914,-0.776
1772930846379.1602,0.0483,-0.5919,-0.7765
1772930846379.1602,0.0473,-0.5943,-0.7756
1772930846379.1602,0.0473,-0.5923,-0.7792
1772930846394.363,0.048,-0.593,-0.777
1772930846394.363,0.0466,-0.5916,-0.7773
1772930846394.363,0.047,-0.5934,-0.7788
1772930846394.363,0.0442,-0.5904,-0.7783
1772930846394.363,0.0468,-0.592,-0.7792
1772930846410.1536,0.0456,-0.5894,-0.7807
1772930846410.1536,0.047,-0.5876,-0.7807
1772930846410.1536,0.0426,-0.5906,-0.7809
1772930846410.1536,0.0438,-0.5861,-0.7837
1772930846410.1536,0.0451,-0.5872,-0.7843
1772930846410.1536,0.0444,-0.5877,-0.7852
1772930846410.1536,0.045,-0.5863,-0.7839
1772930846410.1536,0.0452,-0.59,-0.7864
